,Name,Gender,letters,name_length,gen_code,encoded_names
837,<SOS>curt<EOS>       ,boy,"['c', 'u', 'r', 't']",4,1.0,"[1, 5, 23, 20, 22, 2, 0, 0, 0, 0, 0, 0, 0]"
770,<SOS>gene<EOS>       ,boy,"['g', 'e', 'n', 'e']",4,1.0,"[1, 9, 7, 16, 7, 2, 0, 0, 0, 0, 0, 0, 0]"
911,<SOS>albertus<EOS>   ,boy,"['a', 'l', 'b', 'e', 'r', 't', 'u', 's']",8,1.0,"[1, 3, 14, 4, 7, 20, 22, 23, 21, 2, 0, 0, 0]"
5224,<SOS>juliann<EOS>    ,girl,"['j', 'u', 'l', 'i', 'a', 'n', 'n']",7,0.0,"[1, 12, 23, 14, 11, 3, 16, 16, 2, 0, 0, 0, 0]"
6696,<SOS>addisyn<EOS>    ,girl,"['a', 'd', 'd', 'i', 's', 'y', 'n']",7,0.0,"[1, 3, 6, 6, 11, 21, 27, 16, 2, 0, 0, 0, 0]"
2331,<SOS>karen<EOS>      ,boy,"['k', 'a', 'r', 'e', 'n']",5,1.0,"[1, 13, 3, 20, 7, 16, 2, 0, 0, 0, 0, 0, 0]"
2398,<SOS>stefan<EOS>     ,boy,"['s', 't', 'e', 'f', 'a', 'n']",6,1.0,"[1, 21, 22, 7, 8, 3, 16, 2, 0, 0, 0, 0, 0]"
2850,<SOS>rustin<EOS>     ,boy,"['r', 'u', 's', 't', 'i', 'n']",6,1.0,"[1, 20, 23, 21, 22, 11, 16, 2, 0, 0, 0, 0, 0]"
3598,<SOS>joanna<EOS>     ,girl,"['j', 'o', 'a', 'n', 'n', 'a']",6,0.0,"[1, 12, 17, 3, 16, 16, 3, 2, 0, 0, 0, 0, 0]"
2814,<SOS>khalid<EOS>     ,boy,"['k', 'h', 'a', 'l', 'i', 'd']",6,1.0,"[1, 13, 10, 3, 14, 11, 6, 2, 0, 0, 0, 0, 0]"
3423,<SOS>eden<EOS>       ,boy,"['e', 'd', 'e', 'n']",4,1.0,"[1, 7, 6, 7, 16, 2, 0, 0, 0, 0, 0, 0, 0]"
2279,<SOS>errol<EOS>      ,boy,"['e', 'r', 'r', 'o', 'l']",5,1.0,"[1, 7, 20, 20, 17, 14, 2, 0, 0, 0, 0, 0, 0]"
2860,<SOS>dustan<EOS>     ,boy,"['d', 'u', 's', 't', 'a', 'n']",6,1.0,"[1, 6, 23, 21, 22, 3, 16, 2, 0, 0, 0, 0, 0]"
5980,<SOS>brianne<EOS>    ,girl,"['b', 'r', 'i', 'a', 'n', 'n', 'e']",7,0.0,"[1, 4, 20, 11, 3, 16, 16, 7, 2, 0, 0, 0, 0]"
6766,<SOS>marlie<EOS>     ,girl,"['m', 'a', 'r', 'l', 'i', 'e']",6,0.0,"[1, 15, 3, 20, 14, 11, 7, 2, 0, 0, 0, 0, 0]"
2462,<SOS>jude<EOS>       ,boy,"['j', 'u', 'd', 'e']",4,1.0,"[1, 12, 23, 6, 7, 2, 0, 0, 0, 0, 0, 0, 0]"
1669,<SOS>alta<EOS>       ,boy,"['a', 'l', 't', 'a']",4,1.0,"[1, 3, 14, 22, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
4179,<SOS>narcissus<EOS>  ,girl,"['n', 'a', 'r', 'c', 'i', 's', 's', 'u', 's']",9,0.0,"[1, 16, 3, 20, 5, 11, 21, 21, 23, 21, 2, 0, 0]"
3975,<SOS>eudora<EOS>     ,girl,"['e', 'u', 'd', 'o', 'r', 'a']",6,0.0,"[1, 7, 23, 6, 17, 20, 3, 2, 0, 0, 0, 0, 0]"
4604,<SOS>ura<EOS>        ,girl,"['u', 'r', 'a']",3,0.0,"[1, 23, 20, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
6246,<SOS>audriana<EOS>   ,girl,"['a', 'u', 'd', 'r', 'i', 'a', 'n', 'a']",8,0.0,"[1, 3, 23, 6, 20, 11, 3, 16, 3, 2, 0, 0, 0]"
1117,<SOS>ellison<EOS>    ,boy,"['e', 'l', 'l', 'i', 's', 'o', 'n']",7,1.0,"[1, 7, 14, 14, 11, 21, 17, 16, 2, 0, 0, 0, 0]"
2530,<SOS>brenda<EOS>     ,boy,"['b', 'r', 'e', 'n', 'd', 'a']",6,1.0,"[1, 4, 20, 7, 16, 6, 3, 2, 0, 0, 0, 0, 0]"
4201,<SOS>belva<EOS>      ,girl,"['b', 'e', 'l', 'v', 'a']",5,0.0,"[1, 4, 7, 14, 24, 3, 2, 0, 0, 0, 0, 0, 0]"
3293,<SOS>yahir<EOS>      ,boy,"['y', 'a', 'h', 'i', 'r']",5,1.0,"[1, 27, 3, 10, 11, 20, 2, 0, 0, 0, 0, 0, 0]"
832,<SOS>colin<EOS>      ,boy,"['c', 'o', 'l', 'i', 'n']",5,1.0,"[1, 5, 17, 14, 11, 16, 2, 0, 0, 0, 0, 0, 0]"
3115,<SOS>jonatan<EOS>    ,boy,"['j', 'o', 'n', 'a', 't', 'a', 'n']",7,1.0,"[1, 12, 17, 16, 3, 22, 3, 16, 2, 0, 0, 0, 0]"
609,<SOS>dillard<EOS>    ,boy,"['d', 'i', 'l', 'l', 'a', 'r', 'd']",7,1.0,"[1, 6, 11, 14, 14, 3, 20, 6, 2, 0, 0, 0, 0]"
1956,<SOS>adron<EOS>      ,boy,"['a', 'd', 'r', 'o', 'n']",5,1.0,"[1, 3, 6, 20, 17, 16, 2, 0, 0, 0, 0, 0, 0]"
1915,<SOS>colvin<EOS>     ,boy,"['c', 'o', 'l', 'v', 'i', 'n']",6,1.0,"[1, 5, 17, 14, 24, 11, 16, 2, 0, 0, 0, 0, 0]"
5789,<SOS>jenni<EOS>      ,girl,"['j', 'e', 'n', 'n', 'i']",5,0.0,"[1, 12, 7, 16, 16, 11, 2, 0, 0, 0, 0, 0, 0]"
3169,<SOS>amari<EOS>      ,boy,"['a', 'm', 'a', 'r', 'i']",5,1.0,"[1, 3, 15, 3, 20, 11, 2, 0, 0, 0, 0, 0, 0]"
490,<SOS>howell<EOS>     ,boy,"['h', 'o', 'w', 'e', 'l', 'l']",6,1.0,"[1, 10, 17, 25, 7, 14, 14, 2, 0, 0, 0, 0, 0]"
5375,<SOS>collette<EOS>   ,girl,"['c', 'o', 'l', 'l', 'e', 't', 't', 'e']",8,0.0,"[1, 5, 17, 14, 14, 7, 22, 22, 7, 2, 0, 0, 0]"
2289,<SOS>doug<EOS>       ,boy,"['d', 'o', 'u', 'g']",4,1.0,"[1, 6, 17, 23, 9, 2, 0, 0, 0, 0, 0, 0, 0]"
3375,<SOS>adin<EOS>       ,boy,"['a', 'd', 'i', 'n']",4,1.0,"[1, 3, 6, 11, 16, 2, 0, 0, 0, 0, 0, 0, 0]"
6233,<SOS>brittnie<EOS>   ,girl,"['b', 'r', 'i', 't', 't', 'n', 'i', 'e']",8,0.0,"[1, 4, 20, 11, 22, 22, 16, 11, 7, 2, 0, 0, 0]"
6615,<SOS>aryana<EOS>     ,girl,"['a', 'r', 'y', 'a', 'n', 'a']",6,0.0,"[1, 3, 20, 27, 3, 16, 3, 2, 0, 0, 0, 0, 0]"
1791,<SOS>alston<EOS>     ,boy,"['a', 'l', 's', 't', 'o', 'n']",6,1.0,"[1, 3, 14, 21, 22, 17, 16, 2, 0, 0, 0, 0, 0]"
1333,<SOS>ananias<EOS>    ,boy,"['a', 'n', 'a', 'n', 'i', 'a', 's']",7,1.0,"[1, 3, 16, 3, 16, 11, 3, 21, 2, 0, 0, 0, 0]"
2511,<SOS>flint<EOS>      ,boy,"['f', 'l', 'i', 'n', 't']",5,1.0,"[1, 8, 14, 11, 16, 22, 2, 0, 0, 0, 0, 0, 0]"
4545,<SOS>alvira<EOS>     ,girl,"['a', 'l', 'v', 'i', 'r', 'a']",6,0.0,"[1, 3, 14, 24, 11, 20, 3, 2, 0, 0, 0, 0, 0]"
463,<SOS>wilburn<EOS>    ,boy,"['w', 'i', 'l', 'b', 'u', 'r', 'n']",7,1.0,"[1, 25, 11, 14, 4, 23, 20, 16, 2, 0, 0, 0, 0]"
3621,<SOS>lucie<EOS>      ,girl,"['l', 'u', 'c', 'i', 'e']",5,0.0,"[1, 14, 23, 5, 11, 7, 2, 0, 0, 0, 0, 0, 0]"
277,<SOS>jeremiah<EOS>   ,boy,"['j', 'e', 'r', 'e', 'm', 'i', 'a', 'h']",8,1.0,"[1, 12, 7, 20, 7, 15, 11, 3, 10, 2, 0, 0, 0]"
5306,<SOS>candice<EOS>    ,girl,"['c', 'a', 'n', 'd', 'i', 'c', 'e']",7,0.0,"[1, 5, 3, 16, 6, 11, 5, 7, 2, 0, 0, 0, 0]"
6737,<SOS>londyn<EOS>     ,girl,"['l', 'o', 'n', 'd', 'y', 'n']",6,0.0,"[1, 14, 17, 16, 6, 27, 16, 2, 0, 0, 0, 0, 0]"
4306,<SOS>gretchen<EOS>   ,girl,"['g', 'r', 'e', 't', 'c', 'h', 'e', 'n']",8,0.0,"[1, 9, 20, 7, 22, 5, 10, 7, 16, 2, 0, 0, 0]"
193,<SOS>ora<EOS>        ,boy,"['o', 'r', 'a']",3,1.0,"[1, 17, 20, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
3561,<SOS>freda<EOS>      ,girl,"['f', 'r', 'e', 'd', 'a']",5,0.0,"[1, 8, 20, 7, 6, 3, 2, 0, 0, 0, 0, 0, 0]"
1736,<SOS>alphons<EOS>    ,boy,"['a', 'l', 'p', 'h', 'o', 'n', 's']",7,1.0,"[1, 3, 14, 18, 10, 17, 16, 21, 2, 0, 0, 0, 0]"
